/Users/hayer/Dropbox/5c-MatDiet-SchA-Katherina/SCH-A-LP01-3.csv
hole	num	total	all_pokes	std	average
1	7	30.588000	14	1.633479	4.369714
2	4	13.895000	12	2.645246	3.473750
3	7	34.716000	19	3.334847	4.959429
4	5	15.904000	12	1.884222	3.180800
5	10	32.869000	18	2.311467	3.286900
6	1	5.069000	5	nan	5.069000
7	6	21.867000	9	2.370755	3.644500
8	7	21.098000	16	3.580551	3.014000
9	1	1.531000	13	nan	1.531000
time	correct
6.000000	4
6.400000	2
6.600000	3
6.800000	1
7.000000	3
7.600000	1
7.800000	1
8.000000	1
8.200000	1
8.400000	2
8.600000	1
8.800000	3
9.200000	2
9.400000	1
9.600000	1
10.000000	1
10.200000	2
10.400000	2
10.600000	1
11.000000	1
11.400000	1
11.800000	2
12.400000	2
15.400000	1
